subject,male_y_dropout,male_y_gain,female_x_gain,female_x_loss,has_full_chrom,has_multi_band,high_variance,upd
HG00096,0,0,0,0,0,0,0,0
HG00097,0,0,0,0,0,0,0,0
HG00099,0,0,0,0,0,0,0,0
HG00100,0,0,0,0,0,0,0,0
HG00101,0,0,0,0,0,0,0,0
HG00102,0,0,0,0,0,0,0,0
HG00103,0,0,0,0,0,0,0,0
HG00105,0,0,0,0,0,0,0,0
HG00106,0,0,0,0,0,1,0,0
HG00107,0,0,0,0,0,0,0,0
HG00108,0,0,0,0,0,0,0,0
HG00109,0,0,0,0,0,0,0,0
HG00110,0,0,0,0,0,1,0,1
HG00111,0,0,0,0,0,0,1,0
HG00112,0,0,0,0,0,0,0,0
HG00113,0,0,0,0,0,0,0,0
HG00114,0,0,0,0,0,0,0,0
HG00115,0,0,0,0,0,0,0,0
HG00116,0,0,0,0,0,0,0,0
HG00117,0,0,0,0,0,0,0,0
HG00118,0,0,0,0,0,0,0,0
HG00119,0,0,0,0,0,0,0,0
HG00120,0,0,0,0,0,0,0,0
HG00121,0,0,0,0,0,0,0,0
HG00122,0,0,0,0,0,0,0,0
HG00123,0,0,0,0,0,0,0,0
HG00125,0,0,0,0,0,0,0,0
HG00126,0,0,0,0,0,0,0,0
HG00127,0,0,0,0,0,0,0,0
HG00128,0,0,0,0,0,0,0,0
HG00129,0,0,0,0,0,0,0,0
HG00130,0,0,0,0,0,0,0,0
HG00131,0,0,0,0,0,0,0,0
HG00132,0,0,0,0,0,0,0,0
HG00133,0,0,0,0,0,0,0,0
HG00136,0,0,0,0,0,0,0,0
HG00137,0,0,0,0,0,0,0,0
HG00138,0,0,0,0,0,0,0,0
HG00139,0,0,0,0,0,0,0,0
HG00140,0,0,0,0,0,0,0,0
HG00141,0,0,0,0,0,1,0,0
HG00142,0,0,0,0,1,0,1,0
HG00143,0,0,0,0,0,0,0,0
HG00145,0,0,0,0,0,0,0,0
HG00146,0,0,0,0,0,0,0,0
HG00148,0,0,0,0,0,0,0,0
HG00149,0,0,0,0,0,0,0,0
HG00150,0,0,0,0,0,0,0,0
HG00151,0,0,0,0,0,0,0,0
HG00154,0,0,0,1,0,0,0,0
HG00155,0,0,0,0,0,0,0,0
HG00157,0,0,0,0,0,0,0,0
HG00158,0,0,0,0,0,0,0,0
HG00159,0,0,0,0,0,0,0,0
HG00160,0,0,0,0,0,0,0,0
HG00171,0,0,0,0,0,0,0,0
HG00173,0,0,0,0,0,0,0,0
HG00174,0,0,0,0,0,0,0,0
HG00176,0,0,0,0,0,0,0,0
HG00177,0,0,0,0,0,0,0,0
HG00178,0,0,0,0,0,0,0,0
HG00179,0,0,0,0,0,0,0,0
HG00180,0,0,0,0,0,0,0,0
HG00181,0,0,0,0,0,0,0,0
HG00182,0,0,0,0,0,0,0,0
HG00183,0,0,0,0,0,0,0,0
HG00185,1,0,0,0,0,0,0,0
HG00186,0,0,0,0,0,0,0,0
HG00187,0,0,0,0,0,0,0,0
HG00188,0,0,0,0,0,0,0,0
HG00189,0,0,0,0,1,0,0,0
HG00190,0,0,0,0,0,0,0,0
HG00231,0,0,0,0,0,0,0,0
HG00232,0,0,0,0,0,0,0,0
HG00233,0,0,0,0,0,0,0,0
HG00234,0,0,0,0,0,0,0,0
HG00235,0,0,0,0,0,0,0,0
HG00236,0,0,0,0,0,0,0,0
HG00237,0,0,0,0,0,0,0,0
HG00238,0,0,0,0,0,0,0,0
HG00239,0,0,0,0,0,0,0,0
HG00240,0,0,0,0,0,0,0,0
HG00242,0,0,0,0,0,0,0,0
HG00243,0,0,0,0,0,0,0,0
HG00244,0,0,0,0,0,0,0,0
HG00245,0,0,0,0,0,0,0,0
HG00246,1,0,0,0,0,0,0,0
HG00250,0,0,0,0,0,0,0,0
HG00251,0,0,0,0,0,0,0,0
HG00252,0,0,0,0,0,0,0,0
HG00253,0,0,0,0,0,0,0,0
HG00254,0,0,0,0,0,0,0,0
HG00255,0,0,0,0,0,0,0,0
HG00256,0,0,0,0,0,0,0,0
HG00257,0,0,0,0,0,0,0,0
HG00258,0,0,0,0,0,0,0,0
HG00259,0,0,0,0,0,0,0,0
HG00260,0,0,0,0,0,0,0,0
HG00261,0,0,1,0,0,0,0,0
HG00262,0,0,0,0,0,0,0,0
HG00263,0,0,0,0,0,0,0,0
HG00264,0,0,0,0,0,0,0,0
HG00265,0,0,0,0,0,0,0,0
HG00266,0,0,0,0,0,0,0,0
HG00267,0,0,0,0,0,0,0,0
HG00268,0,0,0,0,0,0,0,0
HG00269,0,0,0,0,0,0,0,0
HG00271,0,0,0,0,0,1,0,0
HG00272,0,0,0,0,0,0,0,0
HG00273,0,0,0,0,0,0,0,0
HG00274,0,0,0,0,0,0,0,0
HG00275,0,0,0,0,0,1,0,0
HG00276,0,0,0,0,0,0,0,0
HG00277,0,0,0,0,0,0,0,0
HG00278,0,0,0,0,0,0,0,0
HG00280,0,0,0,0,0,0,0,0
HG00281,0,0,0,0,0,0,0,0
HG00282,0,0,0,0,0,0,0,0
HG00284,0,0,0,0,0,0,0,0
HG00285,0,0,0,0,0,1,0,0
HG00288,0,0,0,0,0,0,0,0
HG00290,0,0,0,0,0,0,0,0
HG00304,0,0,0,0,0,0,0,0
HG00306,0,0,0,0,0,0,0,0
HG00308,0,0,0,0,0,0,0,0
HG00309,0,0,0,0,0,0,1,0
HG00310,0,0,0,0,0,0,0,0
HG00311,0,0,0,0,0,0,0,0
HG00313,0,0,0,0,0,0,1,0
HG00315,0,0,0,0,0,0,0,0
HG00318,0,0,0,0,0,0,0,0
HG00319,0,0,0,0,0,0,0,0
HG00320,0,0,0,0,0,0,0,0
HG00321,0,0,0,0,0,0,0,0
HG00323,0,0,0,0,0,0,0,0
HG00324,0,0,0,0,0,0,0,0
HG00325,0,0,0,0,0,0,0,0
HG00326,0,0,0,0,0,0,0,0
HG00327,0,0,0,0,0,0,1,0
HG00328,0,0,0,0,0,0,0,0
HG00329,0,0,0,0,0,0,0,0
HG00330,0,0,0,0,0,0,0,0
HG00331,0,0,0,0,0,0,0,0
HG00332,0,0,0,0,0,0,0,0
HG00334,0,0,0,0,0,0,0,0
HG00335,0,0,0,0,0,0,1,0
HG00336,0,0,0,0,0,0,0,0
HG00337,0,0,0,0,0,0,0,0
HG00338,0,0,0,0,0,0,0,0
HG00339,0,0,0,0,0,0,0,0
HG00341,0,0,0,0,0,0,0,0
HG00342,0,0,0,0,0,0,0,0
HG00343,0,0,0,0,0,0,0,0
HG00344,0,0,0,0,0,0,0,0
HG00345,0,0,0,0,0,0,0,0
HG00346,0,0,0,0,0,0,0,0
HG00349,0,0,0,0,0,0,0,0
HG00350,0,0,0,0,0,0,0,0
HG00351,0,0,0,0,0,0,0,0
HG00353,0,0,0,0,0,0,0,0
HG00355,0,0,0,0,0,0,0,0
HG00356,0,0,0,0,0,0,0,0
HG00357,0,0,0,0,0,0,0,0
HG00358,0,0,0,0,0,0,0,0
HG00360,0,0,0,0,0,0,0,0
HG00361,0,0,0,1,0,0,0,0
HG00362,0,0,0,0,0,0,0,0
HG00364,0,0,0,0,0,0,0,0
HG00365,0,0,0,0,0,0,0,0
HG00366,0,0,0,0,0,0,0,0
HG00367,0,0,0,0,0,0,0,0
HG00368,0,0,0,0,0,0,0,0
HG00369,0,0,0,0,0,0,0,0
HG00371,0,0,0,0,0,0,0,0
HG00372,0,0,0,0,0,0,0,0
HG00373,0,0,0,0,0,0,0,0
HG00375,0,0,0,0,0,0,0,0
HG00376,0,0,0,0,0,0,0,0
HG00378,0,0,0,0,0,0,0,0
HG00379,0,0,0,0,0,0,0,0
HG00380,0,0,0,0,0,0,0,0
HG00381,0,0,0,0,0,0,0,0
HG00382,0,0,0,0,0,0,0,0
HG00383,0,0,0,0,0,0,0,0
HG00384,0,0,0,0,0,0,0,0
HG00403,0,0,0,0,0,0,0,0
HG00404,0,0,0,0,0,0,0,0
HG00406,0,0,0,0,0,0,0,0
HG00407,0,0,0,0,0,0,0,0
HG00409,0,0,0,0,0,0,0,0
HG00410,0,0,0,0,0,0,0,0
HG00419,0,0,0,0,0,0,0,0
HG00421,0,0,0,0,0,0,0,0
HG00422,0,0,0,0,0,0,0,0
HG00428,0,0,0,0,0,0,0,0
HG00436,0,0,0,0,0,0,0,0
HG00437,0,0,0,0,0,0,0,0
HG00442,0,0,0,0,0,0,0,0
HG00443,0,0,0,0,0,0,0,0
HG00445,0,0,0,0,0,0,1,0
HG00446,0,0,0,0,0,0,0,0
HG00448,0,0,0,0,0,0,0,0
HG00449,0,0,0,0,0,0,0,0
HG00451,0,0,0,0,0,0,0,0
HG00452,0,0,0,0,0,0,0,0
HG00457,0,0,0,0,0,0,0,0
HG00458,0,0,0,0,0,0,0,0
HG00463,0,0,0,0,0,0,0,0
HG00464,0,0,0,0,0,0,0,0
HG00472,0,0,0,0,0,0,0,0
HG00473,0,0,0,0,0,0,0,0
HG00475,0,0,0,0,0,0,0,0
HG00476,0,0,0,0,0,0,0,0
HG00478,0,0,0,0,0,0,0,0
HG00479,0,0,0,0,0,0,0,0
HG00500,0,0,0,0,0,0,0,0
HG00513,0,0,0,0,0,0,0,0
HG00524,0,0,0,0,0,0,0,0
HG00525,0,0,0,0,0,0,0,0
HG00530,0,0,0,0,0,0,0,0
HG00531,0,0,0,0,0,0,0,0
HG00533,0,0,0,0,0,0,0,0
HG00534,0,0,0,0,0,0,0,0
HG00536,0,0,0,0,0,0,0,0
HG00537,0,0,0,0,0,0,0,0
HG00542,0,0,0,0,0,0,0,0
HG00543,0,0,0,0,0,0,0,0
HG00551,0,0,0,0,0,0,0,0
HG00553,0,0,0,0,0,0,0,0
HG00554,0,0,0,0,0,0,0,0
HG00556,0,0,0,0,0,0,0,0
HG00557,0,0,0,0,0,0,0,0
HG00559,0,0,0,0,0,0,1,0
HG00560,0,0,0,0,0,0,0,0
HG00565,0,0,0,0,0,0,0,0
HG00566,0,0,0,0,0,0,0,0
HG00580,0,0,0,0,0,0,0,0
HG00581,0,0,0,0,0,0,0,0
HG00583,0,0,0,0,0,0,0,0
HG00584,0,0,0,0,0,0,0,0
HG00589,0,0,0,0,0,0,0,0
HG00590,0,0,0,0,0,0,0,0
HG00592,0,0,0,0,0,0,0,0
HG00593,0,0,0,0,0,0,0,0
HG00595,0,0,0,0,0,0,0,0
HG00596,0,0,0,0,0,0,0,0
HG00598,0,0,0,0,0,0,0,0
HG00599,0,0,0,0,0,0,0,0
HG00607,0,0,0,0,0,0,0,0
HG00608,0,0,0,0,0,0,0,0
HG00610,0,0,0,0,0,0,0,0
HG00611,0,0,0,0,0,1,0,0
HG00613,0,0,0,0,0,0,0,0
HG00614,0,0,0,0,0,1,0,0
HG00619,0,0,0,0,0,0,0,0
HG00620,0,0,0,0,0,0,0,0
HG00622,0,0,0,0,0,0,0,0
HG00623,0,0,0,0,1,0,0,0
HG00625,0,0,0,0,0,0,0,0
HG00626,0,0,0,0,0,0,0,0
HG00628,0,0,0,0,0,0,0,0
HG00629,0,0,0,0,0,0,0,0
HG00631,0,0,0,0,0,0,0,0
HG00632,0,0,0,0,0,0,0,0
HG00634,0,0,0,0,0,0,0,0
HG00637,0,0,0,0,0,0,0,0
HG00638,0,0,0,0,0,0,0,0
HG00640,0,0,0,0,0,0,0,0
HG00641,0,0,0,0,0,0,0,0
HG00650,0,0,0,0,0,0,0,0
HG00651,0,0,0,0,0,0,0,0
HG00653,0,0,0,0,0,0,0,0
HG00654,0,0,0,0,0,0,0,0
HG00656,0,0,0,0,0,0,0,0
HG00657,0,0,0,0,0,0,0,0
HG00662,0,0,0,0,0,1,0,0
HG00663,0,0,0,0,0,0,0,0
HG00671,0,0,0,0,0,0,0,0
HG00672,0,0,0,0,0,0,0,0
HG00674,0,0,0,0,0,0,0,0
HG00675,0,0,0,0,0,0,0,0
HG00683,0,0,0,0,0,0,0,0
HG00684,0,0,0,0,0,0,0,0
HG00689,0,0,0,0,0,0,0,0
HG00690,0,0,0,0,0,0,0,0
HG00692,0,0,0,0,0,0,0,0
HG00693,0,0,0,0,0,0,0,0
HG00698,0,0,0,0,0,0,0,0
HG00699,0,0,0,0,0,0,0,0
HG00701,0,0,0,0,0,0,0,0
HG00704,0,0,0,0,0,0,0,0
HG00705,0,0,0,0,0,0,0,0
HG00707,0,0,0,0,0,0,0,0
HG00708,0,0,0,0,0,0,0,0
HG00717,0,0,0,0,0,0,0,0
HG00728,0,0,0,0,0,0,0,0
HG00729,0,0,0,0,0,0,0,0
HG00731,0,0,0,0,0,0,0,0
HG00732,0,0,0,1,0,0,1,0
HG00734,0,0,0,0,0,0,0,0
HG00736,0,0,0,0,0,1,0,0
HG00737,0,0,0,0,0,0,0,0
HG00739,0,0,0,0,0,0,0,0
HG00740,0,0,0,0,0,0,0,0
HG00742,0,0,0,0,0,0,0,0
HG00743,0,0,0,0,0,0,0,0
HG00759,0,0,0,0,0,0,0,0
HG00766,0,0,0,0,0,0,0,0
HG00844,0,0,0,0,0,0,0,0
HG00851,0,0,0,0,0,0,0,0
HG00864,0,0,0,1,0,0,0,0
HG00867,0,0,0,0,0,0,0,0
HG00879,0,0,0,0,0,0,0,0
HG00881,0,0,0,0,0,0,0,0
HG00956,0,0,0,0,0,0,0,0
HG00978,0,0,0,0,0,0,0,0
HG00982,0,0,0,0,0,0,0,0
HG01028,0,0,0,0,0,0,0,0
HG01029,0,0,0,0,0,0,0,0
HG01031,0,0,0,0,0,0,0,0
HG01046,0,0,0,0,0,0,0,0
HG01047,0,0,0,0,0,0,0,0
HG01048,0,0,0,0,0,0,0,0
HG01049,0,0,0,0,0,0,0,0
HG01051,0,0,0,0,0,0,0,0
HG01052,0,0,0,0,0,0,0,0
HG01054,0,0,0,0,0,0,0,0
HG01055,0,0,0,0,0,0,0,0
HG01058,0,0,0,0,0,0,0,0
HG01060,0,0,0,0,0,0,0,0
HG01061,0,0,0,0,0,0,0,0
HG01063,0,0,0,0,0,0,0,0
HG01064,0,0,0,0,0,0,0,0
HG01066,0,0,0,0,0,0,0,0
HG01067,0,0,0,0,0,0,0,0
HG01069,0,0,0,0,0,0,0,0
HG01070,0,0,0,0,0,0,0,0
HG01072,0,0,0,0,0,0,0,0
HG01073,0,0,0,0,0,0,0,0
HG01075,0,0,0,0,0,0,0,0
HG01077,0,0,0,0,0,0,0,0
HG01079,0,0,0,0,0,0,0,0
HG01080,0,0,0,0,0,0,0,0
HG01082,0,0,0,0,0,0,0,0
HG01083,0,0,0,0,0,0,0,0
HG01085,0,0,0,0,0,0,0,0
HG01086,0,0,0,0,0,0,0,0
HG01088,0,0,0,0,0,0,0,0
HG01089,0,0,0,0,0,0,0,0
HG01092,0,0,0,0,0,0,0,0
HG01094,0,0,0,0,0,0,0,0
HG01095,0,0,0,0,0,0,0,0
HG01097,0,0,0,0,0,0,0,0
HG01098,0,0,0,0,0,0,0,0
HG01101,0,0,0,0,0,0,0,0
HG01102,0,0,0,0,0,0,0,0
HG01104,0,0,0,0,0,0,0,0
HG01105,0,0,0,0,0,0,0,0
HG01107,0,0,0,0,0,0,0,0
HG01108,0,0,0,0,0,0,0,0
HG01110,0,0,0,0,0,0,0,0
HG01111,0,0,0,0,0,0,0,0
HG01112,0,0,0,0,0,0,0,0
HG01113,0,0,0,0,0,0,1,0
HG01119,0,0,0,0,0,0,0,0
HG01121,0,0,0,0,0,0,0,0
HG01122,0,0,0,0,0,0,0,0
HG01124,0,0,0,0,0,0,0,0
HG01125,0,0,0,0,0,0,0,0
HG01130,0,0,0,0,0,0,0,0
HG01131,0,0,0,0,0,0,0,0
HG01133,0,0,0,0,0,0,1,0
HG01134,0,0,0,0,0,0,0,0
HG01136,0,0,0,0,0,0,0,0
HG01137,0,0,0,1,1,0,1,0
HG01139,0,0,0,0,0,0,0,0
HG01140,0,0,0,0,0,0,0,0
HG01142,0,0,0,0,0,0,0,0
HG01148,0,0,0,0,0,0,0,0
HG01149,0,0,0,0,0,0,0,0
HG01161,0,0,0,0,0,0,0,0
HG01162,0,0,0,0,0,0,0,0
HG01164,0,0,0,0,0,0,0,0
HG01167,0,0,0,0,0,1,0,0
HG01168,0,0,0,0,0,0,0,0
HG01170,0,0,0,0,0,0,0,0
HG01171,0,0,0,0,0,0,0,0
HG01173,0,0,0,0,0,0,0,0
HG01174,0,0,0,0,0,0,0,0
HG01176,0,0,0,0,0,0,0,0
HG01177,0,0,0,0,0,0,0,0
HG01182,0,0,0,0,0,0,0,0
HG01183,0,0,0,0,0,0,0,0
HG01187,0,0,0,0,0,0,0,0
HG01188,0,0,0,0,0,0,0,0
HG01190,0,0,0,0,0,0,0,0
HG01191,0,0,0,0,0,0,0,0
HG01197,0,0,0,0,0,0,0,0
HG01198,0,0,0,0,0,0,0,0
HG01200,0,0,0,0,0,0,0,0
HG01204,0,0,0,0,0,0,0,0
HG01205,0,0,0,0,0,0,0,0
HG01241,0,0,0,0,0,0,0,0
HG01242,0,0,0,0,0,0,0,0
HG01247,0,0,0,0,0,0,0,0
HG01248,0,0,0,0,0,0,0,0
HG01250,0,0,0,0,0,0,0,0
HG01251,0,0,0,0,0,0,0,0
HG01253,0,0,0,0,0,0,0,0
HG01254,0,0,0,0,0,0,0,0
HG01256,0,0,0,0,0,0,0,0
HG01257,0,0,0,0,0,0,0,0
HG01259,0,0,0,0,0,0,1,0
HG01260,0,0,0,0,0,0,0,0
HG01269,0,0,0,0,0,0,0,0
HG01271,0,0,0,0,0,0,0,0
HG01272,0,0,0,0,0,0,1,0
HG01275,0,0,0,0,0,0,0,0
HG01277,0,0,0,0,0,0,0,0
HG01280,0,0,0,0,0,0,0,0
HG01281,0,0,0,0,0,0,0,0
HG01284,0,0,0,0,0,0,0,0
HG01286,0,0,0,0,0,0,0,0
HG01302,0,0,0,0,0,0,0,0
HG01303,0,0,0,0,1,0,1,0
HG01305,0,0,0,0,0,0,0,0
HG01308,0,0,0,0,0,0,1,0
HG01311,0,0,0,0,0,0,0,0
HG01312,0,0,0,0,0,0,0,0
HG01323,0,0,0,0,0,0,0,0
HG01325,0,0,0,0,0,0,0,0
HG01326,0,0,0,0,0,0,0,0
HG01334,0,0,0,0,0,0,0,0
HG01341,0,0,0,0,0,0,0,0
HG01342,0,0,0,0,0,0,0,0
HG01344,0,0,0,0,0,0,0,0
HG01345,0,0,0,0,0,0,0,0
HG01348,0,0,0,0,0,0,0,0
HG01350,0,0,0,0,0,0,0,0
HG01351,0,0,0,0,0,0,0,0
HG01353,0,0,0,0,0,0,0,0
HG01354,0,0,0,0,0,0,0,0
HG01356,0,0,0,0,0,0,0,0
HG01357,0,0,0,0,1,0,0,0
HG01359,0,0,0,0,0,0,1,0
HG01360,0,0,0,0,0,0,0,0
HG01362,0,0,0,0,0,0,0,0
HG01363,0,0,0,0,0,0,0,0
HG01365,0,0,0,0,0,0,0,0
HG01366,0,0,0,1,0,0,0,0
HG01369,0,0,0,0,0,0,0,0
HG01372,0,0,0,0,0,0,0,0
HG01374,0,0,0,0,0,0,0,0
HG01375,0,0,0,0,0,0,0,0
HG01377,0,0,0,0,0,0,0,0
HG01378,0,0,0,0,0,0,0,0
HG01383,0,0,0,0,0,0,0,0
HG01384,0,0,0,0,0,0,0,0
HG01389,0,0,0,0,0,0,0,0
HG01390,0,0,0,0,0,0,0,0
HG01392,0,0,0,0,0,0,0,0
HG01393,0,0,0,0,0,0,0,0
HG01395,0,0,0,0,0,0,0,0
HG01396,0,0,0,0,0,0,0,0
HG01398,0,0,0,0,0,0,0,0
HG01402,0,0,0,0,0,0,0,0
HG01403,0,0,0,0,0,0,0,0
HG01405,0,0,0,0,0,0,0,0
HG01412,0,0,0,0,0,0,0,0
HG01413,0,0,0,0,0,0,0,0
HG01414,0,0,0,0,1,0,0,0
HG01431,0,0,0,0,0,0,0,0
HG01432,0,0,0,0,0,0,0,0
HG01435,0,0,0,0,0,0,0,0
HG01437,0,0,0,0,0,0,0,0
HG01438,0,0,0,0,0,0,0,0
HG01440,0,0,0,0,0,0,0,0
HG01441,0,0,0,0,0,0,0,0
HG01443,0,0,0,0,0,0,0,0
HG01444,0,0,0,0,0,0,0,0
HG01447,0,0,0,0,0,0,0,0
HG01455,0,0,0,0,0,0,0,0
HG01456,0,0,0,0,0,0,0,0
HG01459,0,0,0,0,0,0,0,0
HG01461,0,0,0,0,0,0,0,0
HG01462,0,0,0,0,0,0,0,0
HG01464,0,0,0,0,0,0,0,0
HG01465,0,0,0,0,0,0,0,0
HG01468,0,0,0,0,0,0,0,0
HG01474,0,0,0,0,0,0,0,0
HG01479,0,0,0,0,0,0,0,0
HG01485,0,0,0,0,0,0,0,0
HG01486,0,0,0,0,0,0,0,0
HG01488,0,0,0,0,0,0,0,0
HG01489,0,0,0,0,0,0,0,0
HG01491,0,0,0,0,0,0,0,0
HG01492,0,0,0,0,0,0,0,0
HG01494,0,0,0,0,0,0,0,0
HG01495,0,0,0,0,0,0,1,0
HG01497,0,0,0,0,0,0,0,0
HG01498,0,0,0,0,0,0,0,0
HG01500,0,0,0,0,0,0,0,0
HG01501,0,0,0,0,0,0,0,0
HG01503,0,0,0,0,0,0,0,0
HG01504,0,0,0,0,0,0,0,0
HG01506,0,0,0,0,1,0,0,0
HG01507,0,0,0,0,0,0,0,0
HG01509,0,0,0,0,0,0,0,0
HG01510,0,0,0,0,0,0,0,0
HG01512,0,0,0,0,0,1,0,0
HG01513,0,0,0,0,0,0,0,0
HG01515,0,0,0,0,0,0,0,0
HG01516,0,0,0,0,0,0,0,0
HG01518,0,0,0,0,0,0,0,0
HG01519,0,0,0,0,0,0,0,0
HG01521,0,0,0,0,0,0,0,0
HG01522,0,0,0,0,0,0,0,0
HG01524,0,0,0,0,0,0,0,0
HG01525,0,0,0,0,0,0,0,0
HG01527,0,0,0,0,0,0,0,0
HG01528,0,0,0,0,0,1,0,0
HG01530,0,0,0,0,0,0,0,0
HG01531,0,0,0,0,0,0,0,0
HG01536,0,0,0,0,0,0,0,0
HG01537,0,0,0,0,0,0,0,0
HG01550,0,0,0,0,0,0,0,0
HG01551,0,0,0,0,0,0,1,0
HG01556,0,0,0,0,0,0,0,0
HG01565,0,0,0,0,0,0,0,0
HG01566,0,0,0,0,0,0,0,0
HG01571,0,0,0,0,0,0,0,0
HG01572,0,0,0,0,0,0,0,0
HG01577,0,0,0,0,0,0,0,0
HG01578,0,0,0,0,0,0,0,0
HG01583,0,0,0,0,0,0,0,0
HG01586,0,0,0,0,0,0,0,0
HG01589,0,0,0,0,0,0,0,0
HG01593,0,0,0,0,0,0,0,0
HG01595,0,0,0,0,0,0,0,0
HG01596,0,0,0,0,0,0,0,0
HG01597,0,0,0,0,0,0,0,0
HG01598,0,0,0,0,0,0,0,0
HG01599,0,0,0,0,0,0,0,0
HG01600,0,0,0,0,0,0,0,0
HG01602,0,0,0,0,1,0,0,0
HG01603,0,0,0,0,0,0,0,0
HG01605,0,0,0,0,0,0,0,0
HG01606,0,0,0,0,0,0,0,0
HG01607,0,0,0,0,0,0,0,0
HG01608,0,0,0,0,0,0,0,0
HG01610,0,0,0,0,0,0,0,0
HG01612,0,0,0,0,0,0,0,0
HG01613,0,0,0,0,0,0,0,0
HG01615,0,0,0,0,0,0,0,0
HG01617,0,0,0,0,0,1,0,0
HG01618,0,0,0,0,0,0,0,0
HG01619,0,0,0,0,0,0,0,0
HG01620,0,0,0,0,0,0,0,0
HG01623,0,0,0,0,0,0,0,0
HG01624,0,0,0,0,0,0,0,0
HG01625,0,0,0,0,0,0,0,0
HG01626,0,0,0,0,0,0,0,0
HG01628,0,0,0,0,0,0,0,0
HG01630,0,0,0,0,0,0,0,0
HG01631,0,0,0,0,0,0,1,0
HG01632,0,0,0,0,0,0,0,0
HG01668,0,0,0,0,0,0,0,0
HG01669,0,0,0,0,0,0,0,0
HG01670,0,0,0,0,0,0,0,0
HG01672,0,0,0,0,0,0,0,0
HG01673,0,0,0,0,0,0,0,0
HG01675,0,0,0,0,0,0,0,0
HG01676,0,0,0,0,0,0,0,0
HG01678,0,0,0,0,0,0,0,0
HG01679,0,0,0,0,0,0,0,0
HG01680,0,0,0,0,0,0,0,0
HG01682,0,0,0,0,0,0,0,0
HG01684,0,0,0,0,0,0,0,0
HG01685,0,0,0,0,0,0,0,0
HG01686,0,0,0,0,0,0,0,0
HG01694,0,0,0,0,0,0,0,0
HG01695,0,0,0,0,0,0,0,0
HG01697,0,0,0,0,0,0,0,0
HG01699,0,0,0,0,0,0,0,0
HG01700,0,0,0,0,0,0,0,0
HG01702,0,0,0,0,1,0,1,0
HG01704,0,0,0,0,1,0,0,0
HG01705,0,0,0,0,0,0,1,0
HG01707,0,0,0,0,0,0,0,0
HG01708,0,0,0,0,0,0,0,0
HG01709,0,0,0,0,0,0,0,0
HG01710,0,0,0,0,0,0,0,0
HG01746,0,0,0,0,0,0,0,0
HG01747,0,0,0,0,0,0,0,0
HG01756,0,0,0,0,0,0,0,0
HG01757,0,0,0,0,0,0,0,0
HG01761,0,0,0,0,0,0,1,0
HG01762,0,0,0,0,0,0,0,0
HG01765,0,0,0,0,0,0,0,0
HG01766,0,0,0,0,0,0,0,0
HG01767,0,0,0,0,0,0,0,0
HG01768,0,0,0,0,0,0,0,0
HG01770,0,0,0,0,0,0,0,0
HG01771,0,0,0,0,0,0,0,0
HG01773,0,0,0,0,0,0,0,0
HG01775,0,0,0,0,0,0,0,0
HG01776,0,0,0,0,0,0,0,0
HG01777,0,0,0,0,0,0,0,0
HG01779,0,0,0,0,0,0,0,0
HG01781,0,0,0,0,0,0,0,0
HG01783,0,0,0,0,0,0,0,0
HG01784,0,0,0,0,0,0,0,0
HG01785,0,0,0,0,0,0,0,0
HG01786,0,0,0,0,0,0,0,0
HG01789,0,0,0,0,0,0,0,0
HG01790,0,0,0,0,0,0,0,0
HG01791,0,0,0,0,0,0,0,0
HG01794,0,0,0,0,0,0,0,0
HG01795,0,0,0,0,0,0,0,0
HG01796,0,0,0,0,0,0,0,0
HG01797,0,0,0,0,0,0,0,0
HG01798,0,0,0,0,0,0,0,0
